code,status,url
ALG,free,https://www.vecteezy.com/video/67217811-the-flag-of-algeria-is-shown-in-this-image
ARG,free,https://www.vecteezy.com/video/9974276-realistic-argentine-republic-waving-flag-smooth-4k-video-seemless-loop
AUS,free,https://www.vecteezy.com/video/9974274-realistic-australia-waving-flag-smooth-4k-video-seemless-loop
AUT,free,https://www.vecteezy.com/video/9974023-waving-flag-fabric-is-the-flag-of-the-nation-of-austria-it-consists-of-three-bands-of-colour-in-the-following-order-red-white-and-red
BEL,free,https://www.vecteezy.com/video/9974278-realistic-kingdom-of-belgium-waving-flag-smooth-4k-video-seemless-loop
BIH,free,https://www.vecteezy.com/video/9973799-realistic-bosnia-and-herzegovina-waving-flag-smooth-4k-video-seemless-loop
BRA,free,https://www.vecteezy.com/video/9974281-realistic-federative-republic-of-brazil-waving-flag-smooth-4k-video-seemless-loop
CAN,free,https://www.vecteezy.com/video/9974032-realistic-canada-waving-flag-smooth-4k-video-seemless-loop
CIV,free,https://www.vecteezy.com/video/9973805-realistic-ivory-coast-waving-flag-smooth-4k-video-seemless-loop
COD,free,https://www.vecteezy.com/video/9973797-realistic-democratic-republic-of-the-congo-waving-flag-smooth-4k-video-seemless-loop
COL,free,https://www.vecteezy.com/video/9973798-realistic-colombia-waving-flag-smooth-4k-video-seemless-loop
CPV,free,https://www.vecteezy.com/video/9974036-realistic-republic-of-cabo-verde-cape-verde-waving-flag-smooth-4k-video-seemless-loop
CRO,free,https://www.vecteezy.com/video/9973796-realistic-croatia-waving-flag-smooth-4k-video-seemless-loop
CUW,free,https://www.vecteezy.com/video/33671101-curacao-waving-flag-realistic-animation-video
CZE,free,https://www.vecteezy.com/video/9974288-realistic-czech-republic-waving-flag-smooth-4k-video-seemless-loop
ECU,free,https://www.vecteezy.com/video/9974291-realistic-ecuador-waving-flag-smooth-4k-video-seemless-loop
EGY,free,https://www.vecteezy.com/video/9974295-realistic-arab-republic-of-egypt-waving-flag-smooth-4k-video-seemless-loop
ENG,free,https://www.vecteezy.com/video/18976836-england-flag-seamless-loop-animation-the-national-flag-of-ecuador-video-of-3d-flag-fabric-surface-background-in-excellent-quality
ESP,free,https://www.vecteezy.com/video/10248738-kingdom-of-spain-realistic-waving-flag-smooth-seamless-loop-4k-video
FRA,free,https://www.vecteezy.com/video/9974298-realistic-french-republic-waving-flag-smooth-4k-video-seemless-loop
GER,free,https://www.vecteezy.com/video/9974046-realistic-federal-republic-of-germany-waving-flag-smooth-4k-video-seemless-loop
GHA,free,https://www.vecteezy.com/video/10373094-national-emblem-coat-of-arms-or-symbol-of-ghana-in-waving-flag-smooth-4k-video-seemless-loop
HAI,free,https://www.vecteezy.com/video/9974304-realistic-haiti-national-waving-flag-smooth-4k-video-seemless-loop
IRN,free,https://www.vecteezy.com/video/9973816-realistic-iran-waving-flag-smooth-4k-video-seemless-loop
IRQ,free,https://www.vecteezy.com/video/9974307-realistic-iraq-waving-flag-smooth-4k-video-seemless-loop
JOR,free,https://www.vecteezy.com/video/9974054-realistic-jordan-national-waving-flag-smooth-4k-video-seemless-loop
JPN,free,https://www.vecteezy.com/video/9973820-realistic-japan-waving-national-flag-smooth-4k-video-seemless-loop
KOR,free,https://www.vecteezy.com/video/10248712-south-korea-realistic-waving-flag-smooth-seamless-loop-4k-video
KSA,free,https://www.vecteezy.com/video/10248663-kingdom-of-saudi-arabia-ksa-realistic-waving-flag-smooth-seamless-loop-4k-video
MAR,free,https://www.vecteezy.com/video/9973836-kingdom-of-morocco-realistic-waving-flag-smooth-seamless-loop-4k-video
